				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	93.3099	93.1478	97.5439	
PARTITION (0,1)	94.3860	92.5394	97.8873	
PARTITION (1,0)	94.3662	93.2258	99.2982	
PARTITION (1,1)	95.7895	92.5550	96.8310	
PARTITION (2,0)	95.4225	93.2726	97.8947	
PARTITION (2,1)	93.3333	92.2742	97.8873	
PARTITION (3,0)	94.3662	92.8982	97.5439	
PARTITION (3,1)	95.0877	92.5082	97.5352	
PARTITION (4,0)	96.4789	93.0542	97.1930	
PARTITION (4,1)	95.4386	92.5394	98.9437	
MEAN			94.7979	92.8014	97.8558	
STDEV			0.9798	0.3423	0.7112	
