				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	84.3478	103.4750	93.9130	
PARTITION (0,1)	87.8261	103.6154	89.5652	
PARTITION (1,0)	83.9130	103.8494	91.7391	
PARTITION (1,1)	83.0435	103.6154	90.4348	
PARTITION (2,0)	85.6522	103.5686	90.0000	
PARTITION (2,1)	82.6087	103.7558	93.4783	
PARTITION (3,0)	86.0870	103.7090	88.6957	
PARTITION (3,1)	80.0000	103.5686	93.0435	
PARTITION (4,0)	86.0870	103.3658	93.0435	
PARTITION (4,1)	87.3913	103.4282	90.0000	
MEAN			84.6957	103.5951	91.3913	
STDEV			2.2742	0.1362	1.7802	
