				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	84.6154	23.1192	88.4615	
PARTITION (0,1)	80.7692	23.1816	94.2308	
PARTITION (1,0)	85.5769	23.1192	91.3462	
PARTITION (1,1)	80.7692	22.9944	89.4231	
PARTITION (2,0)	88.4615	23.0412	85.5769	
PARTITION (2,1)	75.9615	23.0568	93.2692	
PARTITION (3,0)	82.6923	23.1348	87.5000	
PARTITION (3,1)	82.6923	23.1504	89.4231	
PARTITION (4,0)	80.7692	23.1348	87.5000	
PARTITION (4,1)	79.8077	22.9944	93.2692	
MEAN			82.2115	23.0927	90.0000	
STDEV			3.2820	0.0630	2.7602	
