				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	95.0704	95.0510	97.8947	
PARTITION (0,1)	95.4386	94.6142	98.9437	
PARTITION (1,0)	94.3662	94.7234	98.2456	
PARTITION (1,1)	95.7895	94.2398	97.8873	
PARTITION (2,0)	93.3099	94.9262	99.2982	
PARTITION (2,1)	96.1404	94.3958	96.4789	
PARTITION (3,0)	96.8310	95.1134	98.2456	
PARTITION (3,1)	96.1404	94.2242	97.8873	
PARTITION (4,0)	97.1831	95.0978	96.4912	
PARTITION (4,1)	94.3860	94.2086	99.2958	
MEAN			95.4655	94.6594	98.0668	
STDEV			1.1401	0.3549	0.9463	
