				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	83.9130	0.0000	82.6087	
PARTITION (0,1)	82.6087	0.0000	83.9130	
PARTITION (1,0)	80.8696	0.0000	82.1739	
PARTITION (1,1)	82.1739	0.0156	80.8696	
PARTITION (2,0)	83.0435	0.0156	86.9565	
PARTITION (2,1)	86.9565	0.0156	83.0435	
PARTITION (3,0)	86.5217	0.0156	81.3043	
PARTITION (3,1)	81.3043	0.0000	86.5217	
PARTITION (4,0)	87.8261	0.0000	80.8696	
PARTITION (4,1)	80.8696	0.0000	87.8261	
MEAN			83.6087	0.0062	83.6087	
STDEV			2.4752	0.0076	2.4752	
