				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	85.6522	12.9012	89.1304	
PARTITION (0,1)	79.5652	21.5124	91.3043	
PARTITION (1,0)	82.6087	13.7124	93.4783	
PARTITION (1,1)	84.7826	20.7948	87.3913	
PARTITION (2,0)	85.6522	15.6624	90.8696	
PARTITION (2,1)	83.9130	11.3724	92.1739	
PARTITION (3,0)	80.0000	22.7292	90.0000	
PARTITION (3,1)	88.6957	17.9712	87.3913	
PARTITION (4,0)	82.1739	35.2717	91.7391	
PARTITION (4,1)	82.1739	16.4424	89.5652	
MEAN			83.5217	18.8370	90.3043	
STDEV			2.6477	6.5576	1.8958	
