				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	77.8261	15.6780	93.0435	
PARTITION (0,1)	83.9130	16.4580	89.5652	
PARTITION (1,0)	80.8696	11.3724	90.4348	
PARTITION (1,1)	82.6087	20.7636	93.4783	
PARTITION (2,0)	81.7391	14.4924	90.0000	
PARTITION (2,1)	81.7391	18.0336	89.1304	
PARTITION (3,0)	78.6957	12.1524	90.4348	
PARTITION (3,1)	84.3478	11.3568	85.6522	
PARTITION (4,0)	78.2609	15.6780	91.7391	
PARTITION (4,1)	86.5217	17.9712	86.9565	
MEAN			81.6522	15.3957	90.0435	
STDEV			2.6929	2.9585	2.3206	
