				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	87.3913	104.3642	93.0435	
PARTITION (0,1)	79.5652	104.3954	91.3043	
PARTITION (1,0)	82.1739	104.3798	91.7391	
PARTITION (1,1)	83.9130	104.5670	90.0000	
PARTITION (2,0)	84.7826	104.4266	91.3043	
PARTITION (2,1)	86.5217	104.6762	92.6087	
PARTITION (3,0)	83.4783	104.5514	90.8696	
PARTITION (3,1)	84.3478	104.4266	93.9130	
PARTITION (4,0)	89.1304	104.7386	91.3043	
PARTITION (4,1)	83.9130	104.4266	93.4783	
MEAN			84.5217	104.4952	91.9565	
STDEV			2.5588	0.1250	1.1867	
