				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	86.0870	104.2706	92.6087	
PARTITION (0,1)	85.6522	104.5046	92.1739	
PARTITION (1,0)	84.7826	104.5982	94.3478	
PARTITION (1,1)	82.1739	104.4890	92.1739	
PARTITION (2,0)	86.5217	104.4422	93.4783	
PARTITION (2,1)	86.9565	104.6294	93.9130	
PARTITION (3,0)	87.3913	104.5982	87.3913	
PARTITION (3,1)	78.6957	104.4890	93.4783	
PARTITION (4,0)	81.3043	104.2862	92.6087	
PARTITION (4,1)	84.7826	104.3798	93.0435	
MEAN			84.4348	104.4687	92.5217	
STDEV			2.6788	0.1210	1.8422	
