				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	79.8077	22.7292	91.3462	
PARTITION (0,1)	85.5769	22.7292	90.3846	
PARTITION (1,0)	87.5000	22.6668	91.3462	
PARTITION (1,1)	85.5769	22.6980	92.3077	
PARTITION (2,0)	78.8462	22.6980	93.2692	
PARTITION (2,1)	88.4615	22.7604	86.5385	
PARTITION (3,0)	77.8846	22.7136	93.2692	
PARTITION (3,1)	85.5769	22.7604	90.3846	
PARTITION (4,0)	87.5000	22.7448	92.3077	
PARTITION (4,1)	85.5769	22.7916	94.2308	
MEAN			84.2308	22.7292	91.5385	
STDEV			3.6791	0.0349	2.0530	
