				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	79.8077	22.4484	91.3462	
PARTITION (0,1)	84.6154	22.4328	88.4615	
PARTITION (1,0)	89.4231	22.4172	87.5000	
PARTITION (1,1)	75.9615	22.3860	93.2692	
PARTITION (2,0)	85.5769	22.3392	88.4615	
PARTITION (2,1)	80.7692	22.4172	92.3077	
PARTITION (3,0)	84.6154	22.3392	90.3846	
PARTITION (3,1)	80.7692	22.3548	92.3077	
PARTITION (4,0)	80.7692	22.4172	91.3462	
PARTITION (4,1)	88.4615	22.5108	87.5000	
MEAN			83.0769	22.4063	90.2885	
STDEV			3.9693	0.0512	2.0373	
