				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	85.2174	103.0694	93.0435	
PARTITION (0,1)	86.5217	103.3034	90.8696	
PARTITION (1,0)	89.1304	103.4750	90.0000	
PARTITION (1,1)	84.3478	103.2098	90.4348	
PARTITION (2,0)	82.6087	103.2878	90.4348	
PARTITION (2,1)	80.8696	103.3502	92.6087	
PARTITION (3,0)	86.0870	103.3346	86.9565	
PARTITION (3,1)	80.8696	103.1474	93.0435	
PARTITION (4,0)	83.9130	103.0538	92.1739	
PARTITION (4,1)	86.9565	103.1162	92.1739	
MEAN			84.6522	103.2347	91.1739	
STDEV			2.5431	0.1288	1.7719	
