				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	85.6522	103.6310	89.1304	
PARTITION (0,1)	81.7391	103.6934	91.3043	
PARTITION (1,0)	87.3913	103.5218	89.1304	
PARTITION (1,1)	87.8261	103.7714	88.6957	
PARTITION (2,0)	84.7826	103.5842	93.0435	
PARTITION (2,1)	89.1304	103.7558	90.0000	
PARTITION (3,0)	82.1739	103.6778	90.0000	
PARTITION (3,1)	83.0435	103.5842	92.6087	
PARTITION (4,0)	88.2609	103.8182	89.5652	
PARTITION (4,1)	80.0000	103.5842	91.7391	
MEAN			85.0000	103.6622	90.5217	
STDEV			2.9887	0.0884	1.4651	
