				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	84.7826	104.3486	86.9565	
PARTITION (0,1)	83.0435	104.4422	89.5652	
PARTITION (1,0)	80.4348	104.3018	88.6957	
PARTITION (1,1)	83.4783	104.5202	86.5217	
PARTITION (2,0)	82.6087	104.3486	89.5652	
PARTITION (2,1)	86.9565	104.4734	87.8261	
PARTITION (3,0)	83.9130	104.4422	85.6522	
PARTITION (3,1)	82.1739	104.4422	91.3043	
PARTITION (4,0)	83.9130	104.6450	83.9130	
PARTITION (4,1)	81.7391	104.4110	89.5652	
MEAN			83.3043	104.4375	87.9565	
STDEV			1.6975	0.0988	2.1036	
