				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	92.9577	92.9762	96.4912	
PARTITION (0,1)	95.0877	92.4146	96.8310	
PARTITION (1,0)	94.7183	92.9450	98.9474	
PARTITION (1,1)	96.8421	92.3834	96.4789	
PARTITION (2,0)	96.1268	93.1010	97.1930	
PARTITION (2,1)	94.3860	92.2118	97.8873	
PARTITION (3,0)	95.0704	92.8202	97.1930	
PARTITION (3,1)	95.0877	92.5082	97.1831	
PARTITION (4,0)	96.8310	93.0230	96.8421	
PARTITION (4,1)	95.0877	92.4926	98.2394	
MEAN			95.2195	92.6876	97.3286	
STDEV			1.1040	0.3030	0.7571	
