				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	96.1268	113.2406	97.1930	
PARTITION (0,1)	95.4386	114.1142	99.2958	
PARTITION (1,0)	95.0704	112.2734	97.8947	
PARTITION (1,1)	94.0351	115.1126	97.8873	
PARTITION (2,0)	94.7183	116.1578	98.2456	
PARTITION (2,1)	96.4912	113.1626	96.4789	
PARTITION (3,0)	95.7747	112.8038	98.2456	
PARTITION (3,1)	95.0877	113.5058	97.8873	
PARTITION (4,0)	97.8873	114.0206	96.4912	
PARTITION (4,1)	94.0351	111.7742	98.9437	
MEAN			95.4665	113.6166	97.8563	
STDEV			1.1137	1.2382	0.8817	
