				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	80.7692	23.1192	87.5000	
PARTITION (0,1)	74.0385	23.1660	92.3077	
PARTITION (1,0)	83.6538	23.1972	90.3846	
PARTITION (1,1)	84.6154	23.1348	91.3462	
PARTITION (2,0)	81.7308	23.1972	87.5000	
PARTITION (2,1)	74.0385	23.1192	91.3462	
PARTITION (3,0)	83.6538	23.1660	88.4615	
PARTITION (3,1)	78.8462	23.1348	88.4615	
PARTITION (4,0)	86.5385	23.1816	89.4231	
PARTITION (4,1)	79.8077	23.1816	92.3077	
MEAN			80.7692	23.1598	89.9038	
STDEV			4.0108	0.0282	1.7860	
