				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	85.5769	22.7448	94.2308	
PARTITION (0,1)	90.3846	22.7292	91.3462	
PARTITION (1,0)	87.5000	22.7136	92.3077	
PARTITION (1,1)	86.5385	22.6356	92.3077	
PARTITION (2,0)	85.5769	22.6356	93.2692	
PARTITION (2,1)	80.7692	22.6668	91.3462	
PARTITION (3,0)	85.5769	22.7448	89.4231	
PARTITION (3,1)	79.8077	22.7292	94.2308	
PARTITION (4,0)	79.8077	22.6980	91.3462	
PARTITION (4,1)	83.6538	22.6980	86.5385	
MEAN			84.5192	22.6996	91.6346	
STDEV			3.3154	0.0383	2.1949	
