				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	94.3662	93.0386	96.8421	
PARTITION (0,1)	94.7368	92.3678	97.1831	
PARTITION (1,0)	94.0141	92.8982	97.5439	
PARTITION (1,1)	96.1404	92.3210	96.4789	
PARTITION (2,0)	95.7747	92.8982	95.4386	
PARTITION (2,1)	93.6842	92.4302	97.8873	
PARTITION (3,0)	94.7183	93.1010	98.2456	
PARTITION (3,1)	95.7895	92.4614	96.4789	
PARTITION (4,0)	94.0141	92.9762	97.5439	
PARTITION (4,1)	95.0877	92.5862	97.5352	
MEAN			94.8326	92.7078	97.1177	
STDEV			0.8040	0.2881	0.7812	
