				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	83.0435	11.7468	91.3043	
PARTITION (0,1)	80.4348	16.4112	90.0000	
PARTITION (1,0)	83.4783	14.4612	92.6087	
PARTITION (1,1)	83.4783	17.2536	88.6957	
PARTITION (2,0)	83.9130	15.6468	90.0000	
PARTITION (2,1)	83.9130	15.2880	90.4348	
PARTITION (3,0)	83.9130	13.3068	88.6957	
PARTITION (3,1)	82.1739	12.1524	92.1739	
PARTITION (4,0)	85.2174	15.2880	86.9565	
PARTITION (4,1)	80.4348	17.9868	93.0435	
MEAN			83.0000	14.9542	90.3913	
STDEV			1.4737	1.9597	1.8390	
