				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	95.0704	92.9450	98.9474	
PARTITION (0,1)	96.4912	92.2118	97.5352	
PARTITION (1,0)	97.1831	93.1790	97.1930	
PARTITION (1,1)	94.7368	92.2586	97.8873	
PARTITION (2,0)	96.8310	92.9762	97.1930	
PARTITION (2,1)	92.2807	92.2898	98.5916	
PARTITION (3,0)	95.0704	92.8982	94.7368	
PARTITION (3,1)	91.9298	92.2430	97.1831	
PARTITION (4,0)	95.7747	93.2882	97.5439	
PARTITION (4,1)	96.1404	92.2898	96.8310	
MEAN			95.1509	92.6579	97.3642	
STDEV			1.7002	0.4146	1.0785	
