				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	85.5769	22.4952	94.2308	
PARTITION (0,1)	92.3077	22.4796	91.3462	
PARTITION (1,0)	82.6923	22.4640	92.3077	
PARTITION (1,1)	86.5385	22.4640	91.3462	
PARTITION (2,0)	86.5385	22.4328	91.3462	
PARTITION (2,1)	85.5769	22.4016	91.3462	
PARTITION (3,0)	86.5385	22.4796	89.4231	
PARTITION (3,1)	77.8846	22.4796	93.2692	
PARTITION (4,0)	74.0385	22.4796	91.3462	
PARTITION (4,1)	85.5769	22.4640	86.5385	
MEAN			84.3269	22.4640	91.2500	
STDEV			4.8278	0.0259	1.9917	
