				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	79.8077	23.1504	91.3462	
PARTITION (0,1)	80.7692	23.1348	90.3846	
PARTITION (1,0)	84.6154	23.1036	92.3077	
PARTITION (1,1)	86.5385	23.0880	92.3077	
PARTITION (2,0)	76.9231	23.1036	92.3077	
PARTITION (2,1)	83.6538	23.1504	86.5385	
PARTITION (3,0)	80.7692	23.1348	92.3077	
PARTITION (3,1)	82.6923	23.1660	88.4615	
PARTITION (4,0)	87.5000	23.1660	94.2308	
PARTITION (4,1)	79.8077	23.1660	93.2692	
MEAN			82.3077	23.1364	91.3462	
STDEV			3.1364	0.0271	2.1926	
