				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	81.7308	22.7292	81.7308	
PARTITION (0,1)	80.7692	22.7448	80.7692	
PARTITION (1,0)	78.8462	22.7136	86.5385	
PARTITION (1,1)	80.7692	22.7136	87.5000	
PARTITION (2,0)	77.8846	22.7292	89.4231	
PARTITION (2,1)	85.5769	22.7604	82.6923	
PARTITION (3,0)	77.8846	22.7136	87.5000	
PARTITION (3,1)	81.7308	22.7760	89.4231	
PARTITION (4,0)	86.5385	22.7760	91.3462	
PARTITION (4,1)	83.6538	22.7760	88.4615	
MEAN			81.5385	22.7433	86.5385	
STDEV			2.8459	0.0259	3.4130	
