				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	79.5652	104.5358	94.3478	
PARTITION (0,1)	83.0435	104.6294	93.0435	
PARTITION (1,0)	81.3043	104.4890	94.3478	
PARTITION (1,1)	85.2174	104.3174	92.6087	
PARTITION (2,0)	83.4783	104.3486	91.7391	
PARTITION (2,1)	81.3043	104.3174	90.8696	
PARTITION (3,0)	82.6087	104.6918	92.1739	
PARTITION (3,1)	86.9565	104.3642	89.5652	
PARTITION (4,0)	82.1739	104.3954	96.0870	
PARTITION (4,1)	87.8261	104.2706	90.0000	
MEAN			83.3478	104.4359	92.4783	
STDEV			2.4753	0.1432	1.9548	
