				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	83.0435	0.0000	84.7826	
PARTITION (0,1)	85.2174	0.0000	80.0000	
PARTITION (1,0)	81.7391	0.0000	85.6522	
PARTITION (1,1)	84.7826	0.0000	81.7391	
PARTITION (2,0)	84.7826	0.0000	84.7826	
PARTITION (2,1)	82.1739	0.0000	83.4783	
PARTITION (3,0)	78.6957	0.0000	85.6522	
PARTITION (3,1)	86.0870	0.0000	83.4783	
PARTITION (4,0)	81.7391	0.0000	82.6087	
PARTITION (4,1)	83.9130	0.0000	80.8696	
MEAN			83.2174	0.0000	83.3043	
STDEV			2.0870	0.0000	1.8773	
