				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	79.8077	22.6200	89.4231	
PARTITION (0,1)	78.8462	22.6356	90.3846	
PARTITION (1,0)	83.6538	22.6044	89.4231	
PARTITION (1,1)	84.6154	22.5576	88.4615	
PARTITION (2,0)	76.9231	22.6044	93.2692	
PARTITION (2,1)	84.6154	22.6200	84.6154	
PARTITION (3,0)	79.8077	22.5888	89.4231	
PARTITION (3,1)	86.5385	22.6512	85.5769	
PARTITION (4,0)	85.5769	22.6356	94.2308	
PARTITION (4,1)	83.6538	22.6668	88.4615	
MEAN			82.4038	22.6185	89.3269	
STDEV			3.1023	0.0292	2.8020	
