				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	82.1739	103.8338	93.0435	
PARTITION (0,1)	85.2174	103.8494	90.4348	
PARTITION (1,0)	81.3043	103.9274	91.7391	
PARTITION (1,1)	82.1739	103.5530	90.8696	
PARTITION (2,0)	81.3043	103.5218	89.5652	
PARTITION (2,1)	82.1739	103.5374	90.8696	
PARTITION (3,0)	80.4348	103.8338	92.6087	
PARTITION (3,1)	83.9130	103.7246	90.4348	
PARTITION (4,0)	81.3043	103.5686	91.7391	
PARTITION (4,1)	86.5217	103.6778	86.9565	
MEAN			82.6522	103.7027	90.8261	
STDEV			1.8492	0.1432	1.6319	
