				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	82.6087	12.9168	88.6957	
PARTITION (0,1)	80.8696	16.0524	92.1739	
PARTITION (1,0)	83.0435	21.8712	92.1739	
PARTITION (1,1)	82.1739	12.5424	88.6957	
PARTITION (2,0)	79.5652	14.8668	91.7391	
PARTITION (2,1)	85.2174	16.0524	90.8696	
PARTITION (3,0)	85.2174	20.7168	90.0000	
PARTITION (3,1)	80.4348	16.4112	93.4783	
PARTITION (4,0)	86.0870	10.5924	86.9565	
PARTITION (4,1)	86.0870	11.7312	92.1739	
MEAN			83.1304	15.3754	90.6957	
STDEV			2.2906	3.5100	1.9463	
