				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	87.5000	22.6668	93.2692	
PARTITION (0,1)	88.4615	22.6356	89.4231	
PARTITION (1,0)	83.6538	22.6200	91.3462	
PARTITION (1,1)	83.6538	22.5888	92.3077	
PARTITION (2,0)	83.6538	22.5888	90.3846	
PARTITION (2,1)	80.7692	22.6200	89.4231	
PARTITION (3,0)	86.5385	22.6356	87.5000	
PARTITION (3,1)	84.6154	22.6824	92.3077	
PARTITION (4,0)	76.9231	22.6356	90.3846	
PARTITION (4,1)	85.5769	22.6668	84.6154	
MEAN			84.1346	22.6341	90.0962	
STDEV			3.1962	0.0303	2.4345	
