				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	95.0704	96.0338	97.5439	
PARTITION (0,1)	95.7895	94.8326	98.9437	
PARTITION (1,0)	96.4789	95.2070	97.5439	
PARTITION (1,1)	95.7895	94.7234	97.8873	
PARTITION (2,0)	94.0141	95.2538	98.5965	
PARTITION (2,1)	96.1404	94.7702	97.5352	
PARTITION (3,0)	95.7747	95.2694	98.2456	
PARTITION (3,1)	95.0877	94.4270	98.2394	
PARTITION (4,0)	97.5352	95.4410	96.4912	
PARTITION (4,1)	94.3860	94.4738	99.2958	
MEAN			95.6066	95.0432	98.0322	
STDEV			0.9718	0.4677	0.7718	
