				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	85.2174	103.1786	90.0000	
PARTITION (0,1)	83.9130	103.3502	92.6087	
PARTITION (1,0)	83.9130	103.1006	92.1739	
PARTITION (1,1)	83.9130	103.3502	90.0000	
PARTITION (2,0)	84.7826	103.1474	90.8696	
PARTITION (2,1)	86.5217	103.4126	92.1739	
PARTITION (3,0)	83.9130	103.2410	91.7391	
PARTITION (3,1)	83.0435	103.1786	91.3043	
PARTITION (4,0)	87.3913	103.3814	91.7391	
PARTITION (4,1)	86.0870	103.1162	93.0435	
MEAN			84.8696	103.2457	91.5652	
STDEV			1.3304	0.1036	0.9763	
