				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	81.7308	22.4172	89.4231	
PARTITION (0,1)	82.6923	22.4016	85.5769	
PARTITION (1,0)	86.5385	22.4016	88.4615	
PARTITION (1,1)	83.6538	22.3548	89.4231	
PARTITION (2,0)	78.8462	22.3704	90.3846	
PARTITION (2,1)	88.4615	22.5108	84.6154	
PARTITION (3,0)	80.7692	22.3704	88.4615	
PARTITION (3,1)	84.6154	22.4172	85.5769	
PARTITION (4,0)	85.5769	22.4328	92.3077	
PARTITION (4,1)	86.5385	22.4484	91.3462	
MEAN			83.9423	22.4126	88.5577	
STDEV			2.8213	0.0428	2.4497	
