SEED-358301   sonar    sonar    sonar    wdbc     wdbc     wdbc     spambase-460  spambase-460  spambase-460
ALGORITHMS    FITNESS  TIME     TRAIN    FITNESS  TIME     TRAIN    FITNESS       TIME          TRAIN
1NN           83.6538  0.0031   83.6538  95.5356  0.0062   95.5356  82.9130       0.0031        82.9130
RANDOM        82.9808  0.0000   82.8846  95.2195  0.0000   95.4311  82.7826       0.0000        83.4348
RELIEF        84.0385  0.0047   84.5192  95.1134  0.0140   95.2190  82.0435       0.0109        82.1304
RELIEF+LS     83.8462  3.1590   87.7885  95.0788  5.4023   96.8715  82.2609       16.2022       90.6522
RANDOM+LS     83.4615  2.9734   88.3654  95.4306  5.1636   97.1177  83.5217       18.8370       90.3043
AGG-BLX       84.5192  22.6996  91.6346  94.7979  92.8014  97.8558  83.9130       103.6403      89.8261
AGG-CA        84.1346  22.6341  90.0962  95.2195  92.6876  97.3286  83.5217       103.6450      91.3478
AGE-BLX       84.3269  22.4640  91.2500  95.3600  92.1400  97.9260  84.3043       103.2753      89.2174
AGE-CA        83.9423  22.4079  90.0962  95.1489  92.0511  97.2933  83.5652       103.1848      90.7391
AM-10-1.0     84.2308  23.1473  92.3077  95.1137  93.3459  98.0314  84.4348       110.2626      92.6087
AM-10-0.1     82.1154  22.7760  86.5385  95.5359  93.2819  96.5198  82.6522       104.4578      89.6522
AM-10-0.1mej  84.0385  22.8618  91.9231  95.5361  94.2663  98.1371  84.6087       104.6731      92.3913
