				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	96.8310	93.7094	97.1930	
PARTITION (0,1)	93.6842	93.0542	97.5352	
PARTITION (1,0)	94.3662	93.5690	97.8947	
PARTITION (1,1)	95.4386	92.9606	96.8310	
PARTITION (2,0)	96.1268	93.5690	95.7895	
PARTITION (2,1)	94.3860	93.1010	98.5916	
PARTITION (3,0)	93.3099	93.7562	98.5965	
PARTITION (3,1)	95.0877	93.1322	97.1831	
PARTITION (4,0)	92.9577	93.6314	98.2456	
PARTITION (4,1)	94.0351	93.2570	97.8873	
MEAN			94.6223	93.3740	97.5747	
STDEV			1.1772	0.2864	0.8227	
