				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	83.0435	104.6762	90.8696	
PARTITION (0,1)	85.2174	103.9274	88.2609	
PARTITION (1,0)	83.0435	103.6934	90.4348	
PARTITION (1,1)	85.6522	103.5686	88.2609	
PARTITION (2,0)	81.3043	103.5218	88.2609	
PARTITION (2,1)	84.7826	103.5218	89.1304	
PARTITION (3,0)	80.0000	103.7558	90.8696	
PARTITION (3,1)	84.7826	103.5842	89.1304	
PARTITION (4,0)	78.2609	103.7714	93.9130	
PARTITION (4,1)	87.3913	103.5686	86.9565	
MEAN			83.3478	103.7589	89.6087	
STDEV			2.6594	0.3322	1.8797	
