				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	82.1739	103.1006	86.9565	
PARTITION (0,1)	82.1739	103.2722	90.0000	
PARTITION (1,0)	83.0435	103.3346	91.3043	
PARTITION (1,1)	87.8261	103.4126	87.3913	
PARTITION (2,0)	86.5217	103.3346	90.0000	
PARTITION (2,1)	87.3913	103.1474	90.4348	
PARTITION (3,0)	83.0435	103.3034	90.8696	
PARTITION (3,1)	84.3478	103.3034	86.5217	
PARTITION (4,0)	83.0435	103.3346	89.1304	
PARTITION (4,1)	83.4783	103.2098	89.5652	
MEAN			84.3043	103.2753	89.2174	
STDEV			2.0343	0.0827	1.6009	
