				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	86.0870	103.2566	88.6957	
PARTITION (0,1)	79.5652	103.3190	90.8696	
PARTITION (1,0)	85.2174	103.1786	90.0000	
PARTITION (1,1)	87.8261	103.4438	88.6957	
PARTITION (2,0)	83.4783	103.2410	90.0000	
PARTITION (2,1)	86.0870	103.4438	89.5652	
PARTITION (3,0)	83.9130	103.3190	89.5652	
PARTITION (3,1)	82.1739	103.2566	92.6087	
PARTITION (4,0)	87.3913	103.4438	88.6957	
PARTITION (4,1)	80.0000	103.2410	91.7391	
MEAN			84.1739	103.3143	90.0435	
STDEV			2.7443	0.0827	1.2667	
