				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	85.2174	102.9758	89.1304	
PARTITION (0,1)	78.6957	103.2254	92.1739	
PARTITION (1,0)	83.9130	103.1942	92.6087	
PARTITION (1,1)	85.6522	103.2722	88.6957	
PARTITION (2,0)	85.2174	103.1786	91.7391	
PARTITION (2,1)	87.3913	103.1162	92.6087	
PARTITION (3,0)	79.1304	103.2254	90.4348	
PARTITION (3,1)	86.0870	103.2410	87.3913	
PARTITION (4,0)	84.7826	103.2722	91.7391	
PARTITION (4,1)	79.5652	103.1474	90.8696	
MEAN			83.5652	103.1848	90.7391	
STDEV			3.0298	0.0765	1.7068	
