				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	82.1739	12.9012	88.2609	
PARTITION (0,1)	78.6957	17.6124	90.4348	
PARTITION (1,0)	82.6087	18.7824	93.0435	
PARTITION (1,1)	84.3478	12.5424	87.8261	
PARTITION (2,0)	80.0000	16.8168	91.7391	
PARTITION (2,1)	84.7826	12.5268	90.8696	
PARTITION (3,0)	81.3043	18.0024	91.3043	
PARTITION (3,1)	84.7826	24.2580	91.7391	
PARTITION (4,0)	82.6087	18.4080	93.9130	
PARTITION (4,1)	81.3043	10.1712	87.3913	
MEAN			82.2609	16.2022	90.6522	
STDEV			1.9228	3.9522	2.0872	
