				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	86.5385	22.7604	78.8462	
PARTITION (0,1)	78.8462	22.7916	84.6154	
PARTITION (1,0)	78.8462	22.7916	84.6154	
PARTITION (1,1)	80.7692	22.7292	90.3846	
PARTITION (2,0)	87.5000	22.7760	77.8846	
PARTITION (2,1)	76.9231	22.7292	89.4231	
PARTITION (3,0)	85.5769	22.7604	83.6538	
PARTITION (3,1)	75.9615	22.7448	86.5385	
PARTITION (4,0)	86.5385	22.7760	83.6538	
PARTITION (4,1)	78.8462	22.7604	89.4231	
MEAN			81.6346	22.7620	84.9038	
STDEV			4.2012	0.0221	4.0350	
