				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	94.3662	94.5830	97.5439	
PARTITION (0,1)	96.1404	93.9434	97.5352	
PARTITION (1,0)	95.7747	94.6142	99.6491	
PARTITION (1,1)	97.5439	93.9434	97.5352	
PARTITION (2,0)	95.4225	94.7078	98.2456	
PARTITION (2,1)	94.0351	93.7562	98.5916	
PARTITION (3,0)	95.4225	94.5050	97.5439	
PARTITION (3,1)	95.4386	93.9434	98.2394	
PARTITION (4,0)	96.8310	94.4582	97.5439	
PARTITION (4,1)	94.3860	94.2086	98.9437	
MEAN			95.5361	94.2663	98.1371	
STDEV			1.0537	0.3307	0.7036	
