				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	83.6538	22.4640	90.3846	
PARTITION (0,1)	80.7692	22.4484	88.4615	
PARTITION (1,0)	81.7308	22.4172	91.3462	
PARTITION (1,1)	82.6923	22.3860	92.3077	
PARTITION (2,0)	78.8462	22.4328	93.2692	
PARTITION (2,1)	81.7308	22.4640	86.5385	
PARTITION (3,0)	80.7692	22.4016	91.3462	
PARTITION (3,1)	82.6923	22.4640	87.5000	
PARTITION (4,0)	80.7692	22.4640	94.2308	
PARTITION (4,1)	84.6154	22.4796	91.3462	
MEAN			81.8269	22.4422	90.6731	
STDEV			1.5771	0.0303	2.3570	
