				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	86.0870	104.6606	90.4348	
PARTITION (0,1)	80.8696	104.7230	92.1739	
PARTITION (1,0)	79.5652	104.7386	93.4783	
PARTITION (1,1)	86.5217	104.9882	91.3043	
PARTITION (2,0)	85.6522	104.5046	91.7391	
PARTITION (2,1)	83.9130	104.4890	93.9130	
PARTITION (3,0)	82.6087	104.6606	93.0435	
PARTITION (3,1)	88.2609	104.5670	94.3478	
PARTITION (4,0)	86.5217	104.8634	91.3043	
PARTITION (4,1)	86.0870	104.5358	92.1739	
MEAN			84.6087	104.6731	92.3913	
STDEV			2.6462	0.1562	1.2026	
