				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	86.0870	103.5530	90.8696	
PARTITION (0,1)	83.4783	103.7714	90.4348	
PARTITION (1,0)	83.9130	103.8026	89.1304	
PARTITION (1,1)	81.7391	103.5842	90.4348	
PARTITION (2,0)	82.6087	103.6154	89.1304	
PARTITION (2,1)	81.7391	103.7558	92.1739	
PARTITION (3,0)	86.5217	103.7558	86.0870	
PARTITION (3,1)	80.4348	103.6778	92.1739	
PARTITION (4,0)	81.7391	103.4906	91.7391	
PARTITION (4,1)	86.5217	103.5062	89.5652	
MEAN			83.4783	103.6513	90.1739	
STDEV			2.1123	0.1083	1.7412	
