				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	84.3478	110.1050	92.6087	
PARTITION (0,1)	82.6087	110.2922	93.4783	
PARTITION (1,0)	84.3478	110.0426	91.7391	
PARTITION (1,1)	84.7826	110.3702	92.6087	
PARTITION (2,0)	82.1739	110.1986	93.0435	
PARTITION (2,1)	89.1304	110.3858	90.8696	
PARTITION (3,0)	85.6522	110.2922	93.4783	
PARTITION (3,1)	84.7826	110.2298	93.0435	
PARTITION (4,0)	88.6957	110.4950	92.6087	
PARTITION (4,1)	82.6087	110.2298	95.6522	
MEAN			84.9130	110.2641	92.9130	
STDEV			2.2680	0.1250	1.1838	
