				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	84.7826	103.4594	88.6957	
PARTITION (0,1)	80.4348	103.6154	93.4783	
PARTITION (1,0)	83.9130	103.6622	93.4783	
PARTITION (1,1)	85.6522	103.7558	88.6957	
PARTITION (2,0)	84.3478	103.6154	91.3043	
PARTITION (2,1)	83.9130	103.4906	92.6087	
PARTITION (3,0)	79.5652	103.6622	91.3043	
PARTITION (3,1)	84.3478	103.7090	90.8696	
PARTITION (4,0)	83.9130	103.8338	92.1739	
PARTITION (4,1)	84.3478	103.6466	90.8696	
MEAN			83.5217	103.6450	91.3478	
STDEV			1.8387	0.1083	1.6090	
