SEED-77148642  sonar    sonar    sonar    wdbc     wdbc      wdbc     spambase-460  spambase-460  spambase-460
ALGORITHMS     FITNESS  TIME     TRAIN    FITNESS  TIME      TRAIN    FITNESS       TIME          TRAIN
1NN            83.2692  0.0000   83.2692  95.2551  0.0047    95.2551  83.1304       0.0078        83.1304
RANDOM         84.5192  0.0000   83.6538  95.1497  0.0000    95.1491  82.8261       0.0000        83.3913
RELIEF         83.0769  0.0031   83.4615  95.1495  0.0140    95.2549  82.3043       0.0125        82.4348
RELIEF+LS      82.7885  2.2979   87.5962  95.2554  5.3976    97.0476  83.3478       13.6578       90.1739
RANDOM+LS      84.8077  2.4164   87.9808  95.3603  5.8329    97.0122  83.5217       13.9324       90.5217
AGG-BLX        83.8462  22.6653  91.9231  95.4665  113.6166  97.8563  83.4783       103.6513      90.1739
AGG-CA         83.4615  22.6481  90.0000  95.2209  92.7219   97.0476  84.6957       103.5951      91.3913
AGE-BLX        83.4615  22.4453  91.3462  95.7470  92.1353   97.7859  84.2609       103.3049      89.6087
AGE-CA         83.0769  22.4063  90.2885  95.5712  92.1010   97.4344  84.6522       103.2347      91.1739
AM-10-1.0      83.4615  23.3158  92.2115  95.6066  95.0432   98.0322  83.7391       110.9458      92.7826
AM-10-0.1      82.4038  23.0054  86.4423  95.1504  95.5205   96.0987  82.3913       104.5093      88.6957
AM-10-0.1mej   82.2115  22.8525  92.3077  95.4655  94.6594   98.0668  84.4348       104.4687      92.5217
