				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	93.6620	93.5066	97.8947	
PARTITION (0,1)	95.0877	92.9294	96.8310	
PARTITION (1,0)	93.6620	93.4598	96.8421	
PARTITION (1,1)	94.7368	92.8514	97.5352	
PARTITION (2,0)	96.1268	93.7094	97.8947	
PARTITION (2,1)	96.1404	93.1946	98.2394	
PARTITION (3,0)	96.8310	93.4910	96.4912	
PARTITION (3,1)	93.6842	92.8202	98.9437	
PARTITION (4,0)	95.4225	93.5534	98.9474	
PARTITION (4,1)	97.1930	93.0386	97.1831	
MEAN			95.2546	93.2554	97.6803	
STDEV			1.2512	0.3109	0.8197	
