				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	86.0870	105.5810	90.4348	
PARTITION (0,1)	80.8696	106.0646	92.1739	
PARTITION (1,0)	79.1304	105.6746	93.0435	
PARTITION (1,1)	85.2174	105.9554	90.4348	
PARTITION (2,0)	85.2174	105.7682	91.7391	
PARTITION (2,1)	83.0435	107.6090	93.9130	
PARTITION (3,0)	82.6087	106.6106	93.4783	
PARTITION (3,1)	88.6957	106.2206	94.3478	
PARTITION (4,0)	86.5217	106.5638	91.3043	
PARTITION (4,1)	86.0870	106.1270	92.1739	
MEAN			84.3478	106.2175	92.3043	
STDEV			2.7430	0.5668	1.3050	
