SEED-997      sonar    sonar    sonar    wdbc     wdbc     wdbc     spambase-460  spambase-460  spambase-460
ALGORITHMS    FITNESS  TIME     TRAIN    FITNESS  TIME     TRAIN    FITNESS       TIME          TRAIN
1NN           83.0769  0.0000   83.0769  95.0793  0.0078   95.0793  83.0435       0.0078        83.0435
RANDOM        81.1538  0.0000   82.4038  94.9736  0.0000   94.2711  82.3478       0.0000        82.3478
RELIEF        83.1731  0.0016   82.8846  95.0090  0.0125   94.9386  82.7391       0.0125        83.0435
RELIEF+LS     83.0769  2.7362   86.8269  95.1495  5.5973   96.5906  82.8261       15.5953       91.0870
RANDOM+LS     81.4423  2.5428   87.4038  94.7633  5.9530   96.3103  83.3913       17.9915       90.2609
AGG-BLX       82.4038  22.8197  90.8654  94.9040  93.4317  97.5746  85.0435       105.0990      90.1304
AGG-CA        81.9231  22.6419  89.2308  95.1142  92.6860  97.1532  84.0435       103.7651      91.1304
AGE-BLX       84.5192  22.4500  90.0962  95.0798  92.1478  97.6453  83.8261       103.4578      89.7391
AGE-CA        83.8462  22.4001  89.2308  94.6574  92.0168  97.1530  83.2174       103.3346      91.3043
AM-10-1.0     82.0192  23.1348  91.5385  94.5876  93.2944  97.7859  84.0435       110.3920      92.7391
AM-10-0.1     83.4615  22.7402  86.8269  94.7980  93.2055  95.9571  82.8261       104.5873      89.7391
AM-10-0.1mej  83.2692  22.7433  91.4423  95.2546  93.2554  97.6803  84.1739       104.6122      92.8696
