				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	95.4225	93.4598	97.1930	
PARTITION (0,1)	95.7895	92.8670	94.3662	
PARTITION (1,0)	95.0704	93.5222	97.1930	
PARTITION (1,1)	97.1930	92.9294	95.4225	
PARTITION (2,0)	96.1268	93.6158	96.8421	
PARTITION (2,1)	95.0877	92.7422	96.4789	
PARTITION (3,0)	94.7183	93.4442	96.4912	
PARTITION (3,1)	96.1404	92.9138	97.8873	
PARTITION (4,0)	96.4789	93.6314	96.1404	
PARTITION (4,1)	94.0351	93.0854	97.1831	
MEAN			95.6062	93.2211	96.5198	
STDEV			0.8783	0.3278	0.9647	
