				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	83.0435	104.3954	87.8261	
PARTITION (0,1)	79.5652	104.2550	88.6957	
PARTITION (1,0)	82.1739	104.6138	93.0435	
PARTITION (1,1)	82.1739	104.5982	84.7826	
PARTITION (2,0)	83.9130	104.7074	87.3913	
PARTITION (2,1)	84.7826	104.5826	90.0000	
PARTITION (3,0)	86.0870	104.6762	93.0435	
PARTITION (3,1)	83.4783	104.6606	93.0435	
PARTITION (4,0)	79.5652	104.7542	91.3043	
PARTITION (4,1)	83.4783	104.6294	88.2609	
MEAN			82.8261	104.5873	89.7391	
STDEV			1.9661	0.1432	2.6888	
