				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	93.3099	93.6002	98.2456	
PARTITION (0,1)	95.7895	92.9606	97.8873	
PARTITION (1,0)	93.6620	93.6782	99.2982	
PARTITION (1,1)	97.1930	92.9450	97.5352	
PARTITION (2,0)	95.7747	93.7718	97.5439	
PARTITION (2,1)	94.7368	92.7734	98.2394	
PARTITION (3,0)	94.7183	93.5066	97.8947	
PARTITION (3,1)	95.4386	93.0854	97.5352	
PARTITION (4,0)	96.8310	93.6470	97.8947	
PARTITION (4,1)	94.3860	93.1634	98.5916	
MEAN			95.1840	93.3131	98.0666	
STDEV			1.2002	0.3452	0.5285	
