				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	85.6522	13.0104	89.1304	
PARTITION (0,1)	79.5652	21.7308	91.3043	
PARTITION (1,0)	81.7391	13.8060	93.0435	
PARTITION (1,1)	83.4783	20.9664	87.3913	
PARTITION (2,0)	85.6522	15.8184	90.4348	
PARTITION (2,1)	83.4783	11.4816	92.1739	
PARTITION (3,0)	80.0000	22.8852	90.0000	
PARTITION (3,1)	88.6957	18.1272	87.3913	
PARTITION (4,0)	82.1739	35.4589	91.7391	
PARTITION (4,1)	82.1739	16.8948	89.5652	
MEAN			83.2609	19.0180	90.2174	
STDEV			2.6465	6.5727	1.8163	
