				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	86.0870	110.9318	90.8696	
PARTITION (0,1)	78.6957	110.7446	92.1739	
PARTITION (1,0)	81.7391	110.5574	94.3478	
PARTITION (1,1)	86.5217	110.8226	91.7391	
PARTITION (2,0)	89.5652	110.6042	93.0435	
PARTITION (2,1)	87.8261	110.3390	93.4783	
PARTITION (3,0)	78.6957	110.5106	92.6087	
PARTITION (3,1)	83.9130	110.5574	90.8696	
PARTITION (4,0)	83.4783	110.6822	92.6087	
PARTITION (4,1)	83.9130	110.4794	92.1739	
MEAN			84.0435	110.6229	92.3913	
STDEV			3.4347	0.1712	1.0331	
