				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	85.2174	103.1630	89.5652	
PARTITION (0,1)	83.9130	103.1942	91.7391	
PARTITION (1,0)	82.6087	103.3814	91.7391	
PARTITION (1,1)	83.0435	103.2254	90.4348	
PARTITION (2,0)	82.1739	103.2878	91.7391	
PARTITION (2,1)	81.3043	103.3034	90.8696	
PARTITION (3,0)	87.3913	103.4438	94.3478	
PARTITION (3,1)	85.6522	103.4906	90.8696	
PARTITION (4,0)	80.8696	103.4750	88.6957	
PARTITION (4,1)	80.0000	103.3814	93.0435	
MEAN			83.2174	103.3346	91.3043	
STDEV			2.2100	0.1169	1.5433	
