				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	85.5769	22.9164	89.4231	
PARTITION (0,1)	79.8077	22.7448	91.3462	
PARTITION (1,0)	77.8846	22.8696	93.2692	
PARTITION (1,1)	84.6154	22.7604	86.5385	
PARTITION (2,0)	80.7692	22.7448	88.4615	
PARTITION (2,1)	80.7692	22.8228	91.3462	
PARTITION (3,0)	80.7692	22.7916	93.2692	
PARTITION (3,1)	89.4231	22.9008	89.4231	
PARTITION (4,0)	80.7692	22.8852	93.2692	
PARTITION (4,1)	83.6538	22.7604	92.3077	
MEAN			82.4038	22.8197	90.8654	
STDEV			3.2194	0.0639	2.2033	
