				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	93.3099	93.5534	97.5439	
PARTITION (0,1)	96.1404	92.8202	97.5352	
PARTITION (1,0)	94.3662	93.4286	99.2982	
PARTITION (1,1)	97.5439	92.9450	96.8310	
PARTITION (2,0)	95.4225	93.6314	97.8947	
PARTITION (2,1)	93.3333	92.7110	97.8873	
PARTITION (3,0)	94.3662	93.3038	97.5439	
PARTITION (3,1)	95.0877	92.5082	97.5352	
PARTITION (4,0)	96.4789	93.1166	97.1930	
PARTITION (4,1)	95.4386	92.4770	98.9437	
MEAN			95.1488	93.0495	97.8206	
STDEV			1.2862	0.4002	0.7181	
