				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	94.3662	92.3366	97.8947	
PARTITION (0,1)	95.4386	91.6658	97.5352	
PARTITION (1,0)	94.0141	92.3834	99.2982	
PARTITION (1,1)	97.1930	91.8530	96.8310	
PARTITION (2,0)	95.7747	92.4770	97.5439	
PARTITION (2,1)	93.6842	91.5098	97.8873	
PARTITION (3,0)	94.3662	92.2430	97.8947	
PARTITION (3,1)	95.7895	91.8218	97.5352	
PARTITION (4,0)	97.5352	92.4146	97.5439	
PARTITION (4,1)	95.4386	91.8686	98.9437	
MEAN			95.3600	92.0573	97.8908	
STDEV			1.2267	0.3307	0.6861	
