				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	85.5769	22.8852	94.2308	
PARTITION (0,1)	90.3846	22.7136	91.3462	
PARTITION (1,0)	87.5000	22.9632	92.3077	
PARTITION (1,1)	86.5385	22.8696	92.3077	
PARTITION (2,0)	85.5769	22.7604	93.2692	
PARTITION (2,1)	80.7692	22.8072	91.3462	
PARTITION (3,0)	86.5385	22.8072	89.4231	
PARTITION (3,1)	79.8077	22.7916	94.2308	
PARTITION (4,0)	79.8077	22.8540	91.3462	
PARTITION (4,1)	83.6538	22.7448	87.5000	
MEAN			84.6154	22.8197	91.7308	
STDEV			3.3587	0.0703	1.9804	
