				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	83.0435	103.6310	86.5217	
PARTITION (0,1)	81.7391	103.8182	90.4348	
PARTITION (1,0)	82.6087	103.8650	91.7391	
PARTITION (1,1)	88.2609	103.9586	87.8261	
PARTITION (2,0)	85.6522	103.8962	91.3043	
PARTITION (2,1)	85.6522	103.6310	91.7391	
PARTITION (3,0)	82.6087	103.8494	91.3043	
PARTITION (3,1)	85.2174	103.6778	87.3913	
PARTITION (4,0)	80.4348	103.7870	90.0000	
PARTITION (4,1)	83.0435	103.6934	89.5652	
MEAN			83.8261	103.7807	89.7826	
STDEV			2.1981	0.1169	1.8164	
