				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	83.6538	22.4796	88.4615	
PARTITION (0,1)	80.7692	22.3860	89.4231	
PARTITION (1,0)	81.7308	22.4952	92.3077	
PARTITION (1,1)	91.3462	22.4172	86.5385	
PARTITION (2,0)	88.4615	22.4172	88.4615	
PARTITION (2,1)	75.0000	22.4796	91.3462	
PARTITION (3,0)	83.6538	22.4640	94.2308	
PARTITION (3,1)	89.4231	22.4640	88.4615	
PARTITION (4,0)	87.5000	22.4640	90.3846	
PARTITION (4,1)	83.6538	22.4328	91.3462	
MEAN			84.5192	22.4500	90.0962	
STDEV			4.5802	0.0322	2.1523	
