				FITNESS	TIME	TRAIN FIT	
PARTITION (0,0)	88.4615	22.8696	94.2308	
PARTITION (0,1)	88.4615	22.8696	92.3077	
PARTITION (1,0)	84.6154	22.8384	91.3462	
PARTITION (1,1)	78.8462	22.7760	93.2692	
PARTITION (2,0)	82.6923	22.7448	93.2692	
PARTITION (2,1)	83.6538	22.8228	94.2308	
PARTITION (3,0)	86.5385	22.8072	89.4231	
PARTITION (3,1)	79.8077	22.8852	93.2692	
PARTITION (4,0)	79.8077	22.8540	90.3846	
PARTITION (4,1)	85.5769	22.8540	87.5000	
MEAN			83.8462	22.8322	91.9231	
STDEV			3.3531	0.0421	2.1153	
